iter	Passed	Remaining
0	153	153750
1	154	77293
2	155	51727
3	156	38918
4	156	31238
5	157	26151
6	160	22720
7	161	20053
8	163	17966
9	164	16263
10	165	14906
11	166	13735
12	167	12734
13	168	11864
14	169	11121
15	170	10482
16	171	9930
17	173	9465
18	174	9023
19	176	8629
20	177	8296
21	180	8045
22	182	7748
23	183	7470
24	184	7206
25	185	6956
26	187	6758
27	189	6591
28	192	6438
29	193	6265
30	195	6096
31	196	5933
32	197	5793
33	198	5653
34	200	5539
35	203	5441
36	205	5353
37	207	5249
38	208	5145
39	210	5046
40	211	4949
41	213	4858
42	214	4771
43	216	4704
44	218	4639
45	219	4561
46	221	4482
47	222	4407
48	223	4334
49	224	4265
50	225	4199
51	226	4132
52	227	4068
53	229	4026
54	232	3995
55	235	3961
56	236	3910
57	237	3858
58	238	3807
59	239	3756
60	241	3711
61	242	3665
62	243	3622
63	246	3604
64	248	3574
65	249	3537
66	251	3499
67	252	3461
68	253	3422
69	254	3385
70	256	3354
71	257	3318
72	259	3289
73	261	3272
74	263	3253
75	265	3231
76	266	3200
77	268	3169
78	269	3144
79	270	3113
80	272	3086
81	273	3061
82	274	3036
83	276	3015
84	277	2992
85	279	2966
86	280	2941
87	281	2915
88	282	2895
89	284	2879
90	285	2854
91	286	2829
92	288	2809
93	290	2801
94	292	2785
95	294	2770
96	295	2753
97	297	2733
98	298	2714
99	299	2694
100	300	2674
101	302	2660
102	306	2671
103	308	2662
104	310	2646
105	311	2629
106	313	2613
107	314	2597
108	315	2581
109	317	2568
110	321	2572
111	324	2571
112	325	2556
113	327	2544
114	328	2528
115	330	2515
116	331	2501
117	332	2486
118	336	2491
119	339	2489
120	341	2479
121	342	2463
122	343	2448
123	344	2436
124	346	2427
125	348	2416
126	351	2418
127	354	2412
128	355	2401
129	357	2390
130	358	2379
131	360	2369
132	361	2359
133	365	2362
134	369	2364
135	370	2353
136	371	2342
137	373	2332
138	375	2322
139	376	2314
140	378	2306
141	381	2304
142	384	2302
143	385	2293
144	387	2283
145	388	2274
146	390	2263
147	391	2253
148	392	2242
149	395	2243
150	397	2235
151	399	2227
152	400	2218
153	402	2208
154	403	2200
155	405	2191
156	406	2181
157	407	2171
158	409	2165
159	412	2165
160	413	2155
161	415	2148
162	416	2140
163	418	2131
164	420	2127
165	422	2121
166	425	2123
167	429	2126
168	431	2120
169	432	2113
170	434	2105
171	435	2098
172	437	2090
173	440	2091
174	443	2090
175	445	2084
176	447	2080
177	449	2073
178	451	2069
179	453	2066
180	457	2069
181	460	2067
182	461	2061
183	463	2053
184	464	2044
185	465	2038
186	467	2030
187	468	2024
188	470	2020
189	473	2016
190	474	2011
191	476	2003
192	477	1995
193	478	1987
194	479	1979
195	480	1971
196	481	1962
197	482	1953
198	483	1945
199	485	1941
200	487	1938
201	489	1932
202	490	1924
203	491	1916
204	492	1908
205	493	1901
206	494	1893
207	495	1886
208	496	1878
209	497	1873
